name,phone,address_full,pincode,lat,lon,website,cuisines,hours_json
"Saravana Bhavan","+919876543210","32 Brigade Road, Bangalore",560001,12.9750,77.6050,"https://saravanabhavan.com","[""SOUTH_INDIAN""]","{""monday"": [{""open"": ""11:00"", ""close"": ""22:00""}], ""tuesday"": [{""open"": ""11:00"", ""close"": ""22:00""}], ""wednesday"": [{""open"": ""11:00"", ""close"": ""22:00""}], ""thursday"": [{""open"": ""11:00"", ""close"": ""22:00""}], ""friday"": [{""open"": ""11:00"", ""close"": ""22:00""}], ""saturday"": [{""open"": ""11:00"", ""close"": ""22:00""}], ""sunday"": [{""open"": ""11:00"", ""close"": ""22:00""}]}"
"Pind Balluchi","+919876543211","45 MG Road, Delhi",110001,28.6330,77.2194,"https://pindballuchi.com","[""NORTH_INDIAN"", ""MUGHLAI""]","{""monday"": [{""open"": ""12:00"", ""close"": ""23:00""}], ""tuesday"": [{""open"": ""12:00"", ""close"": ""23:00""}], ""wednesday"": [{""open"": ""12:00"", ""close"": ""23:00""}], ""thursday"": [{""open"": ""12:00"", ""close"": ""23:00""}], ""friday"": [{""open"": ""12:00"", ""close"": ""23:00""}], ""saturday"": [{""open"": ""12:00"", ""close"": ""23:00""}], ""sunday"": [{""open"": ""12:00"", ""close"": ""23:00""}]}"
"China Gate","+919876543212","15 Marine Drive, Mumbai",400001,18.9220,72.8347,"https://chinagate.in","[""CHINESE""]","{""monday"": [{""open"": ""11:30"", ""close"": ""22:30""}], ""tuesday"": [{""open"": ""11:30"", ""close"": ""22:30""}], ""wednesday"": [{""open"": ""11:30"", ""close"": ""22:30""}], ""thursday"": [{""open"": ""11:30"", ""close"": ""22:30""}], ""friday"": [{""open"": ""11:30"", ""close"": ""22:30""}], ""saturday"": [{""open"": ""11:30"", ""close"": ""22:30""}], ""sunday"": [{""open"": ""11:30"", ""close"": ""22:30""}]}"
"Cafe Coffee Day","+919876543213","100 Commercial Street, Bangalore",560001,12.9833,77.6167,"https://cafecoffeeday.com","[""CAFE""]","{""monday"": [{""open"": ""08:00"", ""close"": ""23:00""}], ""tuesday"": [{""open"": ""08:00"", ""close"": ""23:00""}], ""wednesday"": [{""open"": ""08:00"", ""close"": ""23:00""}], ""thursday"": [{""open"": ""08:00"", ""close"": ""23:00""}], ""friday"": [{""open"": ""08:00"", ""close"": ""23:00""}], ""saturday"": [{""open"": ""08:00"", ""close"": ""23:00""}], ""sunday"": [{""open"": ""08:00"", ""close"": ""23:00""}]}"
"Toit","+919876543214","298 100 Feet Road, Bangalore",560034,12.9279,77.6271,"https://toit.in","[""ITALIAN"", ""CAFE""]","{""monday"": [{""open"": ""12:00"", ""close"": ""01:00""}], ""tuesday"": [{""open"": ""12:00"", ""close"": ""01:00""}], ""wednesday"": [{""open"": ""12:00"", ""close"": ""01:00""}], ""thursday"": [{""open"": ""12:00"", ""close"": ""01:00""}], ""friday"": [{""open"": ""12:00"", ""close"": ""01:00""}], ""saturday"": [{""open"": ""12:00"", ""close"": ""01:00""}], ""sunday"": [{""open"": ""12:00"", ""close"": ""01:00""}]}"
"Johny Hot Dog","+919876543215","Church Street, Bangalore",560001,12.9750,77.6083,"","[""STREET_FOOD""]","{""monday"": [{""open"": ""18:00"", ""close"": ""02:00""}], ""tuesday"": [{""open"": ""18:00"", ""close"": ""02:00""}], ""wednesday"": [{""open"": ""18:00"", ""close"": ""02:00""}], ""thursday"": [{""open"": ""18:00"", ""close"": ""02:00""}], ""friday"": [{""open"": ""18:00"", ""close"": ""02:00""}], ""saturday"": [{""open"": ""18:00"", ""close"": ""02:00""}], ""sunday"": []}"
"Moti Mahal","+919876543216","3 Daryaganj, Delhi",110002,28.6478,77.2338,"https://motimahal.in","[""NORTH_INDIAN"", ""MUGHLAI""]","{""monday"": [{""open"": ""11:00"", ""close"": ""23:00""}], ""tuesday"": [{""open"": ""11:00"", ""close"": ""23:00""}], ""wednesday"": [{""open"": ""11:00"", ""close"": ""23:00""}], ""thursday"": [{""open"": ""11:00"", ""close"": ""23:00""}], ""friday"": [{""open"": ""11:00"", ""close"": ""23:00""}], ""saturday"": [{""open"": ""11:00"", ""close"": ""23:00""}], ""sunday"": [{""open"": ""11:00"", ""close"": ""23:00""}]}"
"Theobroma","+919876543217","Shop 2, Linking Road, Mumbai",400050,19.0550,72.8320,"https://theobroma.in","[""BAKERY"", ""CAFE""]","{""monday"": [{""open"": ""09:00"", ""close"": ""22:00""}], ""tuesday"": [{""open"": ""09:00"", ""close"": ""22:00""}], ""wednesday"": [{""open"": ""09:00"", ""close"": ""22:00""}], ""thursday"": [{""open"": ""09:00"", ""close"": ""22:00""}], ""friday"": [{""open"": ""09:00"", ""close"": ""22:00""}], ""saturday"": [{""open"": ""09:00"", ""close"": ""22:00""}], ""sunday"": [{""open"": ""09:00"", ""close"": ""22:00""}]}"
"Gajalee","+919876543218","45 Veer Nariman Road, Mumbai",400020,18.9281,72.8261,"https://gajalee.com","[""SEAFOOD""]","{""monday"": [{""open"": ""12:00"", ""close"": ""15:00""}, {""open"": ""19:00"", ""close"": ""23:00""}], ""tuesday"": [{""open"": ""12:00"", ""close"": ""15:00""}, {""open"": ""19:00"", ""close"": ""23:00""}], ""wednesday"": [{""open"": ""12:00"", ""close"": ""15:00""}, {""open"": ""19:00"", ""close"": ""23:00""}], ""thursday"": [{""open"": ""12:00"", ""close"": ""15:00""}, {""open"": ""19:00"", ""close"": ""23:00""}], ""friday"": [{""open"": ""12:00"", ""close"": ""15:00""}, {""open"": ""19:00"", ""close"": ""23:00""}], ""saturday"": [{""open"": ""12:00"", ""close"": ""15:00""}, {""open"": ""19:00"", ""close"": ""23:00""}], ""sunday"": [{""open"": ""12:00"", ""close"": ""15:00""}, {""open"": ""19:00"", ""close"": ""23:00""}]}"
"Dosa King","+919876543219","23 Gandhi Road, Chennai",600001,13.0843,80.2705,"","[""SOUTH_INDIAN""]","{""monday"": [{""open"": ""07:00"", ""close"": ""21:00""}], ""tuesday"": [{""open"": ""07:00"", ""close"": ""21:00""}], ""wednesday"": [{""open"": ""07:00"", ""close"": ""21:00""}], ""thursday"": [{""open"": ""07:00"", ""close"": ""21:00""}], ""friday"": [{""open"": ""07:00"", ""close"": ""21:00""}], ""saturday"": [{""open"": ""07:00"", ""close"": ""21:00""}], ""sunday"": [{""open"": ""07:00"", ""close"": ""21:00""}]}"
